,index,FID,Exit_ID,Longitude,Latitude,County,State,Highway,Type,AADT,Pop_dens,Comm_1mi,Ports_5mi,Ports_10mi,Ports_20mi,Close_nonT,SHAPE,Flood_Zone
15,15,7074,US-64_Cherokee_NC_Exit_16,-84.14984779,35.03311538,Cherokee,NC,U.S. Highway 64,Exit/Intersection,7400,60.34978957,1,0,0,0,42.53598429,"{'x': -84.14984778964373, 'y': 35.033115379870935, 'spatialReference': {'wkid': 4326}}",Area of Minimal Flood Hazard
16,16,7075,US-64_Cherokee_NC_Exit_17,-84.12907174,35.02578639,Cherokee,NC,U.S. Highway 64,Exit/Intersection,10000,58.90728541,2,0,0,0,43.81089133,"{'x': -84.12907173986883, 'y': 35.025786389929976, 'spatialReference': {'wkid': 4326}}",Area of Minimal Flood Hazard
17,17,7076,US-64_Cherokee_NC_Exit_18,-84.1147298,35.02736525,Cherokee,NC,U.S. Highway 64,Exit/Intersection,10000,58.90728541,4,0,0,0,44.55606617,"{'x': -84.11472979974042, 'y': 35.027365249606646, 'spatialReference': {'wkid': 4326}}",Area of Minimal Flood Hazard
18,18,7077,US-64_Cherokee_NC_Exit_19,-84.10483165,35.03065098,Cherokee,NC,U.S. Highway 64,Exit/Intersection,16000,58.90728541,4,0,0,0,45.02879401,"{'x': -84.10483164996066, 'y': 35.0306509802586, 'spatialReference': {'wkid': 4326}}",Area of Minimal Flood Hazard
19,19,7078,US-64_Cherokee_NC_Exit_23,-84.08832578,35.03981973,Cherokee,NC,U.S. Highway 64,Exit/Intersection,19000,58.90728541,5,0,0,0,45.75593524,"{'x': -84.08832578001068, 'y': 35.03981973039629, 'spatialReference': {'wkid': 4326}}",Area of Minimal Flood Hazard
20,20,7079,US-64_Cherokee_NC_Exit_24,-84.0754985,35.04887949,Cherokee,NC,U.S. Highway 64,Exit/Intersection,19000,114.6727346,1,0,0,0,46.29870783,"{'x': -84.07549849965602, 'y': 35.04887948989659, 'spatialReference': {'wkid': 4326}}",Area of Minimal Flood Hazard
21,21,7080,US-64_Cherokee_NC_Exit_25,-84.05656584,35.06997262,Cherokee,NC,U.S. Highway 64,Exit/Intersection,22000,114.6727346,10,0,0,0,47.00709519,"{'x': -84.05656583974167, 'y': 35.06997261994053, 'spatialReference': {'wkid': 4326}}",Area of Minimal Flood Hazard
22,22,7081,US-64_Cherokee_NC_Exit_26,-84.04705023,35.07407104,Cherokee,NC,U.S. Highway 64,Exit/Intersection,22000,114.6727346,15,0,0,0,47.47514428,"{'x': -84.04705023008404, 'y': 35.07407104004653, 'spatialReference': {'wkid': 4326}}",Area of Minimal Flood Hazard
23,23,7082,US-64_Cherokee_NC_Exit_27,-84.03452144,35.08046438,Cherokee,NC,U.S. Highway 64,Exit/Intersection,23000,114.6727346,25,0,0,0,48.08272582,"{'x': -84.03452144011231, 'y': 35.08046437982733, 'spatialReference': {'wkid': 4326}}",Area of Minimal Flood Hazard
24,24,7083,US-64_Cherokee_NC_Exit_28,-84.02767928,35.08188557,Cherokee,NC,U.S. Highway 64,Exit/Intersection,20000,103.3946857,21,0,0,0,48.44436445,"{'x': -84.0276792801746, 'y': 35.08188557036283, 'spatialReference': {'wkid': 4326}}",Area of Minimal Flood Hazard
25,25,7084,US-64_Cherokee_NC_Exit_20,-84.02553629,35.07625737,Cherokee,NC,U.S. Highway 64,Exit/Intersection,9500,114.6727346,20,0,0,0,48.63888196,"{'x': -84.02553629016762, 'y': 35.076257370181565, 'spatialReference': {'wkid': 4326}}",Area of Minimal Flood Hazard
26,26,7085,US-64_Cherokee_NC_Exit_21,-84.00217292,35.0707927,Cherokee,NC,U.S. Highway 64,Exit/Intersection,9500,114.6727346,0,0,0,0,50.01145285,"{'x': -84.00217291964447, 'y': 35.07079270002316, 'spatialReference': {'wkid': 4326}}",Area of Minimal Flood Hazard
27,27,7086,US-64_Cherokee_NC_Exit_22,-83.96659462,35.06235804,Cherokee,NC,U.S. Highway 64,Exit/Intersection,7100,103.3946857,2,0,0,0,52.1038433,"{'x': -83.96659461984581, 'y': 35.0623580403913, 'spatialReference': {'wkid': 4326}}",Area of Minimal Flood Hazard
28,28,7087,US-64_Clay_NC_Exit_1,-83.92341684,35.05675486,Clay,NC,U.S. Highway 64,Exit/Intersection,6900,116.3303567,0,0,0,0,54.57875686,"{'x': -83.92341684011507, 'y': 35.056754860248645, 'spatialReference': {'wkid': 4326}}",Area of Minimal Flood Hazard
29,29,7088,US-64_Clay_NC_Exit_2,-83.90462,35.05164623,Clay,NC,U.S. Highway 64,Exit/Intersection,6900,116.3303567,1,0,0,0,55.69361572,"{'x': -83.90462000031272, 'y': 35.05164622988963, 'spatialReference': {'wkid': 4326}}",Area of Minimal Flood Hazard
30,30,7089,US-64_Clay_NC_Exit_3,-83.88227228,35.04758304,Clay,NC,U.S. Highway 64,Exit/Intersection,7900,116.3303567,1,0,0,0,56.99101116,"{'x': -83.88227228004166, 'y': 35.0475830398255, 'spatialReference': {'wkid': 4326}}",Area of Minimal Flood Hazard
31,31,7090,US-64_Clay_NC_Exit_4,-83.85774634,35.03251494,Clay,NC,U.S. Highway 64,Exit/Intersection,9300,116.3303567,1,0,0,0,58.56953753,"{'x': -83.85774633972176, 'y': 35.032514940312296, 'spatialReference': {'wkid': 4326}}",Area of Minimal Flood Hazard
32,32,7091,US-64_Clay_NC_Exit_5,-83.84593103,35.03391469,Clay,NC,U.S. Highway 64,Exit/Intersection,9300,116.3303567,2,0,0,0,59.20296047,"{'x': -83.84593102959332, 'y': 35.03391469011092, 'spatialReference': {'wkid': 4326}}",Area of Minimal Flood Hazard
33,33,7092,US-64_Clay_NC_Exit_6,-83.83348516,35.03537257,Clay,NC,U.S. Highway 64,Exit/Intersection,9300,116.3303567,14,0,0,0,59.87141257,"{'x': -83.83348515981226, 'y': 35.03537257028796, 'spatialReference': {'wkid': 4326}}",Area of Minimal Flood Hazard
34,34,7093,US-64_Clay_NC_Exit_7,-83.8206888,35.03461656,Clay,NC,U.S. Highway 64,Exit/Intersection,11000,116.3303567,15,0,0,0,60.47614248,"{'x': -83.82068879994813, 'y': 35.034616559706535, 'spatialReference': {'wkid': 4326}}",Area of Minimal Flood Hazard
35,35,7094,US-64_Clay_NC_Exit_8,-83.81052421,35.03460075,Clay,NC,U.S. Highway 64,Exit/Intersection,9100,116.3303567,11,0,0,0,60.72371254,"{'x': -83.8105242098244, 'y': 35.03460074962493, 'spatialReference': {'wkid': 4326}}",Area of Minimal Flood Hazard
36,36,7095,US-64_Clay_NC_Exit_9,-83.79920123,35.0390215,Clay,NC,U.S. Highway 64,Exit/Intersection,8400,29.45786479,0,0,0,0,60.73007474,"{'x': -83.79920122995276, 'y': 35.039021500242086, 'spatialReference': {'wkid': 4326}}",1% Annual Chance Flood Hazard
37,37,7096,US-64_Clay_NC_Exit_10,-83.76584262,35.03848862,Clay,NC,U.S. Highway 64,Exit/Intersection,7300,29.45786479,1,0,0,0,61.62182183,"{'x': -83.76584261974108, 'y': 35.03848861955419, 'spatialReference': {'wkid': 4326}}",Area of Minimal Flood Hazard
38,38,7097,US-64_Clay_NC_Exit_11,-83.74844128,35.03604978,Clay,NC,U.S. Highway 64,Exit/Intersection,7300,29.45786479,1,0,0,0,62.23543484,"{'x': -83.74844128044072, 'y': 35.036049779573716, 'spatialReference': {'wkid': 4326}}",Area of Minimal Flood Hazard
39,39,7098,US-64_Clay_NC_Exit_12,-83.74106514,35.03437713,Clay,NC,U.S. Highway 64,Exit/Intersection,7300,29.45786479,0,0,0,0,62.53711119,"{'x': -83.74106513994423, 'y': 35.0343771296009, 'spatialReference': {'wkid': 4326}}",Area of Minimal Flood Hazard
40,40,7099,US-64_Clay_NC_Exit_13,-83.72075402,35.02781543,Clay,NC,U.S. Highway 64,Exit/Intersection,4600,29.45786479,2,0,0,0,63.4929746,"{'x': -83.72075401988207, 'y': 35.02781543043784, 'spatialReference': {'wkid': 4326}}",Area of Minimal Flood Hazard
41,41,7100,US-64_Clay_NC_Exit_14,-83.69402416,35.02240374,Clay,NC,U.S. Highway 64,Exit/Intersection,4600,29.45786479,2,0,0,0,64.57365861,"{'x': -83.69402415958723, 'y': 35.02240374024046, 'spatialReference': {'wkid': 4326}}",Area of Minimal Flood Hazard
42,42,7101,US-64_Clay_NC_Exit_15,-83.68257746,35.02444965,Clay,NC,U.S. Highway 64,Exit/Intersection,3700,29.45786479,0,0,0,0,64.78440736,"{'x': -83.68257745998176, 'y': 35.02444965023125, 'spatialReference': {'wkid': 4326}}",Area of Minimal Flood Hazard
43,43,7102,US-64_Clay_NC_Exit_16,-83.66650188,35.02583623,Clay,NC,U.S. Highway 64,Exit/Intersection,3900,29.45786479,0,0,0,0,65.17766031,"{'x': -83.66650187965797, 'y': 35.02583623035781, 'spatialReference': {'wkid': 4326}}",Area of Minimal Flood Hazard
44,44,7103,US-64_Clay_NC_Exit_17,-83.6490372,35.03028151,Clay,NC,U.S. Highway 64,Exit/Intersection,3300,29.45786479,0,0,0,0,65.44584777,"{'x': -83.64903720020658, 'y': 35.03028150998375, 'spatialReference': {'wkid': 4326}}",Area of Minimal Flood Hazard
45,45,7104,US-64_Clay_NC_Exit_18,-83.62159882,35.03774474,Clay,NC,U.S. Highway 64,Exit/Intersection,3000,29.45786479,0,0,0,0,65.80928629,"{'x': -83.62159881982961, 'y': 35.03774473992786, 'spatialReference': {'wkid': 4326}}",Area of Minimal Flood Hazard
46,46,7105,US-64_Macon_NC_Exit_1,-83.34363505,35.17593464,Macon,NC,U.S. Highway 64,Exit/Intersection,11000,78.40567322,6,0,0,0,48.37918835,"{'x': -83.3436350497177, 'y': 35.17593464017153, 'spatialReference': {'wkid': 4326}}",Area of Minimal Flood Hazard
47,47,7106,US-64_Macon_NC_Exit_2,-83.32473796,35.16601712,Macon,NC,U.S. Highway 64,Exit/Intersection,8700,78.40567322,2,0,0,0,47.81644728,"{'x': -83.32473795978899, 'y': 35.16601711989421, 'spatialReference': {'wkid': 4326}}",Area of Minimal Flood Hazard
48,48,7107,US-64_Macon_NC_Exit_3,-83.31656751,35.1638708,Macon,NC,U.S. Highway 64,Exit/Intersection,6300,80.2211016,2,0,0,0,47.50258698,"{'x': -83.31656751018244, 'y': 35.16387079969769, 'spatialReference': {'wkid': 4326}}",Area of Minimal Flood Hazard
49,49,7108,US-64_Macon_NC_Exit_4,-83.31544132,35.15409758,Macon,NC,U.S. Highway 64,Exit/Intersection,2900,78.40567322,1,0,0,0,47.81164995,"{'x': -83.31544131976108, 'y': 35.15409758013925, 'spatialReference': {'wkid': 4326}}",Area of Minimal Flood Hazard
50,50,7109,US-64_Macon_NC_Exit_5,-83.28130191,35.13620133,Macon,NC,U.S. Highway 64,Exit/Intersection,2900,80.2211016,0,0,0,0,46.90624665,"{'x': -83.28130191005505, 'y': 35.13620133042713, 'spatialReference': {'wkid': 4326}}",0.2% Annual Chance Flood Hazard
51,51,7110,US-64_Macon_NC_Exit_6,-83.27920078,35.12396549,Macon,NC,U.S. Highway 64,Exit/Intersection,2900,49.74614777,0,0,0,0,47.30483326,"{'x': -83.27920077989205, 'y': 35.123965490115324, 'spatialReference': {'wkid': 4326}}",Area of Minimal Flood Hazard
52,52,7111,US-64_Macon_NC_Exit_7,-83.26940249,35.10531396,Macon,NC,U.S. Highway 64,Exit/Intersection,2900,80.2211016,0,0,0,0,47.64020988,"{'x': -83.26940248993293, 'y': 35.10531396007127, 'spatialReference': {'wkid': 4326}}",1% Annual Chance Flood Hazard
53,53,7112,US-64_Macon_NC_Exit_8,-83.24916786,35.07694021,Macon,NC,U.S. Highway 64,Exit/Intersection,3900,49.74614777,0,0,0,0,47.99415946,"{'x': -83.24916785990877, 'y': 35.07694021012264, 'spatialReference': {'wkid': 4326}}",Area of Minimal Flood Hazard
54,54,7113,US-64_Macon_NC_Exit_9,-83.22148745,35.06570898,Macon,NC,U.S. Highway 64,Exit/Intersection,3900,49.74614777,2,0,0,0,47.33662064,"{'x': -83.2214874503855, 'y': 35.065708979985516, 'spatialReference': {'wkid': 4326}}",Area of Minimal Flood Hazard
55,55,7114,US-64_Macon_NC_Exit_10,-83.21877013,35.06191672,Macon,NC,U.S. Highway 64,Exit/Intersection,3900,49.74614777,3,0,0,0,47.40125229,"{'x': -83.21877012993752, 'y': 35.06191671968094, 'spatialReference': {'wkid': 4326}}",Area of Minimal Flood Hazard
56,56,7115,US-64_Macon_NC_Exit_11,-83.20543804,35.05730893,Macon,NC,U.S. Highway 64,Exit/Intersection,3800,49.74614777,34,0,0,0,47.07084828,"{'x': -83.20543804033326, 'y': 35.05730892986327, 'spatialReference': {'wkid': 4326}}",Area of Minimal Flood Hazard
57,57,7116,US-64_Macon_NC_Exit_12,-83.19715459,35.05267544,Macon,NC,U.S. Highway 64,Exit/Intersection,5300,49.74614777,34,0,0,0,46.6348935,"{'x': -83.1971545900123, 'y': 35.052675440119515, 'spatialReference': {'wkid': 4326}}",Area of Minimal Flood Hazard
58,58,7117,US-64_Macon_NC_Exit_13,-83.19897527,35.06272371,Macon,NC,U.S. Highway 64,Exit/Intersection,5600,49.74614777,34,0,0,0,46.54807008,"{'x': -83.19897527019253, 'y': 35.062723710131195, 'spatialReference': {'wkid': 4326}}",Area of Minimal Flood Hazard
59,59,7118,US-64_Macon_NC_Exit_14,-83.18558501,35.08367649,Macon,NC,U.S. Highway 64,Exit/Intersection,6600,49.74614777,2,0,0,0,45.00304359,"{'x': -83.18558500974035, 'y': 35.083676490177936, 'spatialReference': {'wkid': 4326}}",Area of Minimal Flood Hazard
60,60,7119,US-64_Macon_NC_Exit_15,-83.16561968,35.08672963,Macon,NC,U.S. Highway 64,Exit/Intersection,3800,49.74614777,1,0,0,0,44.03854202,"{'x': -83.16561967990424, 'y': 35.08672963006842, 'spatialReference': {'wkid': 4326}}",Area of Minimal Flood Hazard
61,61,7120,US-64_Macon_NC_Exit_16,-83.15852375,35.09099499,Macon,NC,U.S. Highway 64,Exit/Intersection,3800,49.74614777,0,0,0,0,43.54510069,"{'x': -83.1585237501709, 'y': 35.09099499042651, 'spatialReference': {'wkid': 4326}}",Area of Minimal Flood Hazard
62,62,7121,US-64_Jackson_NC_Exit_1,-83.14840088,35.10889482,Jackson,NC,U.S. Highway 64,Exit/Intersection,3300,50.57781003,0,0,0,0,42.27754102,"{'x': -83.14840087959686, 'y': 35.10889482033974, 'spatialReference': {'wkid': 4326}}",Area of Minimal Flood Hazard
63,63,7122,US-64_Jackson_NC_Exit_2,-83.10031278,35.11392113,Jackson,NC,U.S. Highway 64,Exit/Intersection,8900,37.9754925,9,0,0,0,40.09293304,"{'x': -83.10031277991084, 'y': 35.11392113035595, 'spatialReference': {'wkid': 4326}}",Area of Minimal Flood Hazard
64,64,7123,US-64_Jackson_NC_Exit_3,-83.07478435,35.12589852,Jackson,NC,U.S. Highway 64,Exit/Intersection,5300,37.9754925,1,0,0,0,38.49478367,"{'x': -83.0747843500177, 'y': 35.12589851990083, 'spatialReference': {'wkid': 4326}}",Area of Minimal Flood Hazard
65,65,7124,US-64_Jackson_NC_Exit_4,-83.05576091,35.12603058,Jackson,NC,U.S. Highway 64,Exit/Intersection,5300,37.9754925,3,0,0,0,37.69067227,"{'x': -83.05576090983806, 'y': 35.12603057994738, 'spatialReference': {'wkid': 4326}}",Area of Minimal Flood Hazard
66,66,7125,US-64_Jackson_NC_Exit_5,-83.02162009,35.1140218,Jackson,NC,U.S. Highway 64,Exit/Intersection,3200,37.9754925,4,0,0,0,36.83571109,"{'x': -83.02162008999511, 'y': 35.114021799566444, 'spatialReference': {'wkid': 4326}}",Area of Minimal Flood Hazard
67,67,7126,US-64_Transylvania_NC_Exit_1,-82.99078586,35.11283264,Transylvania,NC,U.S. Highway 64,Exit/Intersection,4000,29.60043709,1,0,0,0,35.66607887,"{'x': -82.99078585967965, 'y': 35.11283264041407, 'spatialReference': {'wkid': 4326}}",Area of Minimal Flood Hazard
68,68,7127,US-64_Transylvania_NC_Exit_2,-82.97512186,35.1127702,Transylvania,NC,U.S. Highway 64,Exit/Intersection,4000,29.60043709,4,0,0,0,35.0626818,"{'x': -82.97512186038551, 'y': 35.1127701995851, 'spatialReference': {'wkid': 4326}}",Area of Minimal Flood Hazard
69,69,7128,US-64_Transylvania_NC_Exit_3,-82.95811918,35.11274986,Transylvania,NC,U.S. Highway 64,Exit/Intersection,4000,29.60043709,4,0,0,0,34.41906452,"{'x': -82.9581191797563, 'y': 35.11274985961836, 'spatialReference': {'wkid': 4326}}",Area of Minimal Flood Hazard
70,70,7129,US-64_Transylvania_NC_Exit_4,-82.93230911,35.12288636,Transylvania,NC,U.S. Highway 64,Exit/Intersection,4400,29.60043709,3,0,0,0,32.93381444,"{'x': -82.93230911007731, 'y': 35.12288636031735, 'spatialReference': {'wkid': 4326}}",Area of Minimal Flood Hazard
71,71,7130,US-64_Transylvania_NC_Exit_5,-82.92744403,35.12745555,Transylvania,NC,U.S. Highway 64,Exit/Intersection,3700,29.60043709,3,0,0,0,32.51536104,"{'x': -82.92744402961824, 'y': 35.12745555033342, 'spatialReference': {'wkid': 4326}}",Area of Minimal Flood Hazard
72,72,7131,US-64_Transylvania_NC_Exit_6,-82.90132946,35.12064614,Transylvania,NC,U.S. Highway 64,Exit/Intersection,3700,29.60043709,0,0,0,0,31.94781737,"{'x': -82.90132946028632, 'y': 35.12064614010734, 'spatialReference': {'wkid': 4326}}",Area of Minimal Flood Hazard
73,73,7132,US-64_Transylvania_NC_Exit_7,-82.87720631,35.1356237,Transylvania,NC,U.S. Highway 64,Exit/Intersection,6100,29.60043709,1,0,0,0,30.29801838,"{'x': -82.87720631012309, 'y': 35.135623700373515, 'spatialReference': {'wkid': 4326}}",Area of Minimal Flood Hazard
74,74,7133,US-64_Transylvania_NC_Exit_8,-82.85136564,35.13884531,Transylvania,NC,U.S. Highway 64,Exit/Intersection,7000,42.54276377,0,0,0,0,29.25915513,"{'x': -82.85136564011214, 'y': 35.13884531026292, 'spatialReference': {'wkid': 4326}}",Regulatory Floodway
75,75,7134,US-64_Transylvania_NC_Exit_9,-82.83961485,35.14230575,Transylvania,NC,U.S. Highway 64,Exit/Intersection,7000,42.54276377,3,0,0,0,28.68544665,"{'x': -82.83961485004528, 'y': 35.14230575041012, 'spatialReference': {'wkid': 4326}}",Area of Minimal Flood Hazard
76,76,7135,US-64_Transylvania_NC_Exit_10,-82.83167925,35.14892327,Transylvania,NC,U.S. Highway 64,Exit/Intersection,7800,42.54276377,3,0,0,0,28.05596245,"{'x': -82.8316792502971, 'y': 35.1489232695933, 'spatialReference': {'wkid': 4326}}",Area of Minimal Flood Hazard
77,77,7136,US-64_Transylvania_NC_Exit_11,-82.81362115,35.16486504,Transylvania,NC,U.S. Highway 64,Exit/Intersection,12000,42.54276377,2,0,0,0,26.57463452,"{'x': -82.81362114959632, 'y': 35.16486503978979, 'spatialReference': {'wkid': 4326}}",Area of Minimal Flood Hazard
78,78,7137,US-64_Transylvania_NC_Exit_12,-82.80741291,35.17070993,Transylvania,NC,U.S. Highway 64,Exit/Intersection,12000,42.54276377,2,0,0,0,26.04489466,"{'x': -82.80741291007769, 'y': 35.17070992981945, 'spatialReference': {'wkid': 4326}}",Area of Minimal Flood Hazard
79,79,7138,US-64_Transylvania_NC_Exit_13,-82.80035599,35.17978972,Transylvania,NC,U.S. Highway 64,Exit/Intersection,11000,42.54276377,2,0,0,0,25.30242062,"{'x': -82.80035599023671, 'y': 35.17978971991971, 'spatialReference': {'wkid': 4326}}",Area of Minimal Flood Hazard
80,80,7139,US-64_Transylvania_NC_Exit_14,-82.78794674,35.18944873,Transylvania,NC,U.S. Highway 64,Exit/Intersection,11000,42.54276377,1,0,0,0,24.36143294,"{'x': -82.78794673995003, 'y': 35.1894487300749, 'spatialReference': {'wkid': 4326}}",Area of Minimal Flood Hazard
81,81,7140,US-64_Transylvania_NC_Exit_15,-82.78116542,35.1981904,Transylvania,NC,U.S. Highway 64,Exit/Intersection,11000,42.54276377,1,0,0,0,23.64699676,"{'x': -82.78116542004807, 'y': 35.19819040026681, 'spatialReference': {'wkid': 4326}}",Area of Minimal Flood Hazard
82,82,7141,US-64_Transylvania_NC_Exit_16,-82.78137458,35.19823577,Transylvania,NC,U.S. Highway 64,Exit/Intersection,11000,42.54276377,1,0,0,0,23.65077373,"{'x': -82.78137457987293, 'y': 35.19823577016473, 'spatialReference': {'wkid': 4326}}",Area of Minimal Flood Hazard
83,83,7142,US-64_Transylvania_NC_Exit_17,-82.76466652,35.20787969,Transylvania,NC,U.S. Highway 64,Exit/Intersection,12000,735.4402434,0,0,0,0,22.5840412,"{'x': -82.76466651984396, 'y': 35.20787968969597, 'spatialReference': {'wkid': 4326}}",Area of Minimal Flood Hazard
84,84,7143,US-64_Transylvania_NC_Exit_18,-82.76496172,35.20790559,Transylvania,NC,U.S. Highway 64,Exit/Intersection,12000,173.5806484,0,0,0,0,22.59130254,"{'x': -82.76496171960764, 'y': 35.207905590170924, 'spatialReference': {'wkid': 4326}}",Area of Minimal Flood Hazard
85,85,7144,US-64_Transylvania_NC_Exit_19,-82.75446099,35.21588359,Transylvania,NC,U.S. Highway 64,Exit/Intersection,15000,173.5806484,2,0,0,0,21.8121138,"{'x': -82.75446098988272, 'y': 35.215883590255544, 'spatialReference': {'wkid': 4326}}",Area of Minimal Flood Hazard
86,86,7145,US-64_Transylvania_NC_Exit_20,-82.74229467,35.22315853,Transylvania,NC,U.S. Highway 64,Exit/Intersection,17000,735.4402434,25,0,0,0,21.0293031,"{'x': -82.7422946698631, 'y': 35.223158530042156, 'spatialReference': {'wkid': 4326}}",Area of Minimal Flood Hazard
87,87,7146,US-64_Transylvania_NC_Exit_21,-82.73775349,35.22640566,Transylvania,NC,U.S. Highway 64,Exit/Intersection,10000,173.5806484,32,0,0,0,20.70674196,"{'x': -82.73775349013141, 'y': 35.22640565999325, 'spatialReference': {'wkid': 4326}}",Area of Minimal Flood Hazard
88,88,7147,US-64_Transylvania_NC_Exit_22,-82.73677847,35.23004932,Transylvania,NC,U.S. Highway 64,Exit/Intersection,13000,173.5806484,38,0,0,0,20.46175734,"{'x': -82.73677847035009, 'y': 35.23004931992023, 'spatialReference': {'wkid': 4326}}",Area of Minimal Flood Hazard
89,89,7148,US-64_Transylvania_NC_Exit_23,-82.73387216,35.23433972,Transylvania,NC,U.S. Highway 64,Exit/Intersection,16000,735.4402434,47,0,0,0,20.12343897,"{'x': -82.73387216007211, 'y': 35.23433972010207, 'spatialReference': {'wkid': 4326}}",Area of Minimal Flood Hazard
90,90,7149,US-64_Transylvania_NC_Exit_24,-82.7291211,35.24099855,Transylvania,NC,U.S. Highway 64,Exit/Intersection,30000,735.4402434,51,0,0,2,19.59152506,"{'x': -82.72912110015858, 'y': 35.24099854964339, 'spatialReference': {'wkid': 4326}}",Area of Minimal Flood Hazard
